Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments,Id,ParentId,property 1,Text
1,Document,,,,,,,,,Draft,Service Excellence,,,,,
2,Page,,,,,,,,,,Page 1,,,,,
3,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,White Hatt,,3fIyoGj0pJs5,50J-lDy-mQBP,,White Hatt
4,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Auditability,,P1J-uXzau2PU,t0J-Iqrg1pg~,,Auditability
5,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Self ServiceDeployments,,p3J-g8~f.IA7,t0J-T~KujPSI,,Self ServiceDeployments
6,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Change Fail Percentage,,08CyFiqqmJOI,K8Cy.PTBR~Qq,,Change Fail Percentage
7,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,CICD Audits,,P3J-QPYfaQhl,50J-lDy-mQBP,,CICD Audits
8,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Automation,,t0J-ZHj_fEwE,t0J-03TUHTBS,,Automation
9,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,User Experience,,t0J-T~KujPSI,t0J-03TUHTBS,,User Experience
10,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Transparency,,t0J-Iqrg1pg~,t0J-03TUHTBS,,Transparency
11,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Data Management,,6kEy_uunNp7N,t0J-03TUHTBS,,Data Management
12,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Deployment Anxiety,,u2J-l0x59k6w,t0J-ljZDm_ke,,Deployment Anxiety
13,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Deployment,,-1J-twkt2MlQ,Z0J-bjE9wIHi,,Deployment
14,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Regularly Re-assess Design,,h4CylJDmPp6Z,h1J-nKUc_5GM,,Regularly Re-assess Design
15,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Configuration,,FPCy0smjmbK8,p3J-g8~f.IA7,,Configuration
16,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,App Performance,,g9CyQgRfEPyC,E8CyZvNGjdJ5,,App Performance
17,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Failure,,W9Cyp8T4JrVM,-1J-twkt2MlQ,,Failure
18,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Focused Dashboards,,T1J-LYcY38fs,t0J-Iqrg1pg~,,Focused Dashboards
19,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Pipeline,,m0Cyxdj1OLpm,p3J-g8~f.IA7,,Pipeline
20,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Continuous Review,,V3J-0PAIJ3mm,50J-lDy-mQBP,,Continuous Review
21,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Application Failures,,41J-kdDoBKUA,Z0J-bjE9wIHi,,Application Failures
22,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Auto Mutate Pipelines,,V2CybVILfZ0T,t0J-ZHj_fEwE,,Auto Mutate Pipelines
23,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Architecture &Lifecycle,,_lEymYJpxU0Y,6kEy_uunNp7N,,Architecture &Lifecycle
24,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Health Dependencies,,-7CypcbSC0~u,K1J-kiXGOli3,,Health Dependencies
25,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,DataDiscovery,,xxEy3BI~~gWn,_lEymYJpxU0Y,,DataDiscovery
26,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Predictive,,H9CyVS9gMC~X,41J-kdDoBKUA,,Predictive
27,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Service,,j0CyMw91WMY9,p3J-g8~f.IA7,,Service
28,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Error Rates,,d9CyHUh~8A_D,E8CyZvNGjdJ5,,Error Rates
29,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Performance,,x9CyGMFxssTw,41J-kdDoBKUA,,Performance
30,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Culture,,t0J-ljZDm_ke,t0J-03TUHTBS,,Culture
31,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Continuous Improvement,,I2J-NgaLqUeT,t0J-ljZDm_ke,,Continuous Improvement
32,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Feedback Loops,,23Cy9-6uaGvm,I2J-NgaLqUeT,,Feedback Loops
33,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Value Streaming,,83CyM2Dvy8PS,I2J-NgaLqUeT,,Value Streaming
34,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Security,,50J-lDy-mQBP,t0J-03TUHTBS,,Security
35,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Deployment Metrics,,K8Cy.PTBR~Qq,t0J-Iqrg1pg~,,Deployment Metrics
36,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Alerting,,Z0J-bjE9wIHi,t0J-03TUHTBS,,Alerting
37,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Transaction Tracing,,67CyK1hEMn6O,K1J-kiXGOli3,,Transaction Tracing
38,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Shift Left - SDLC,,D2J-aisb3wlp,t0J-ljZDm_ke,,Shift Left - SDLC
39,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,System Thinking,,z2J-eq0at805,t0J-ljZDm_ke,,System Thinking
40,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Readily Available Metrics,,t4CydI0CXjZ5,h1J-nKUc_5GM,,Readily Available Metrics
41,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Automation Testing,,32Cy69F8OQfy,t0J-ZHj_fEwE,,Automation Testing
42,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Deploy Freq,,V8Cy9X~MbUMa,K8Cy.PTBR~Qq,,Deploy Freq
43,IntelligentMindMapNodeBlock,Mind Maps,2,,,,,,,,Success,,S9CyU4QVb6Q7,-1J-twkt2MlQ,,Success
